3 1 15	0	0	0
0 4 18	-1	-1	2.219205677580702
4 2 10	-1	-2	5.520818268126284
3 5 5	-1	-3	38.6025156298767
4 6 6	0.5	-2.5	29.703071512990004
3 5 3	-1	-3.5	30.126420766813737
4 0 14	-1	-4.5	41.99357107213928
6 4 2	0.5	-4.0	36.02519740079775
2 0 0	-1	-5.0	37.31671019149839
0 0 20	0.5	-4.5	33.75867927211415
1 3 7	-1	-5.5	36.55477045821328
2 6 4	0.5	-5.0	34.89513335233446
2 0 12	0.5	-4.5	32.298187183953324
5 1 11	-1	-5.5	42.989795883625604
6 4 0	0.5	-5.0	39.9200217134735
5 1 5	-1	-6.0	44.010029001538975
3 1 7	-1	-7.0	44.66679399840224
4 0 0	-1	-8.0	70.04169668464556
2 2 2	-1	-9.0	71.74723521002258
4 0 8	-1	-10.0	79.00155498874656
6 0 6	0.5	-9.5	75.0567007492622
5 5 1	0.5	-9.0	71.58635616337808
1 3 5	-1	-10.0	75.23012552085912
2 6 6	-1	-11.0	78.00596407539459
6 0 0	0.5	-10.5	74.95009905171058
4 6 2	0.5	-10.0	71.98291954721336
0 4 0	-1	-11.0	88.61859722047194
1 5 1	0.5	-10.5	85.60784687183902
0 2 20	0.5	-10.0	82.95580440743548
5 3 9	0.5	-9.5	80.09984082713102
0 2 0	0.5	-9.0	79.01241619829425
4 6 0	0.5	-8.5	76.46497549262813
3 5 7	0.5	-8.0	75.37528945628354
0 6 12	0.5	-7.5	74.14686915515583
1 1 7	0.5	-7.0	73.53680022533587
3 7 3	0.5	-6.5	71.98358447301301
2 2 0	-1	-7.5	88.03150154274259
7 1 1	0.5	-7.0	85.80807859604296
0 0 2	0.5	-6.5	85.67911520602452
5 5 3	0.5	-6.0	83.99027834546608
2 0 2	0.5	-5.5	82.36179710489691
0 2 6	0.5	-5.0	80.79920038004897
5 3 11	-1	-6.0	82.89183815992226
4 4 0	-1	-7.0	88.54947352263648
2 0 10	0.5	-6.5	86.57075784190637
4 2 0	0.5	-6.0	84.93159481177629
1 5 7	0.5	-5.5	84.10808951876159
0 2 14	0.5	-5.0	82.48910060483381
3 5 9	0.5	-4.5	80.77084680597544
3 3 5	-1	-5.5	81.51897792095704
3 3 9	0.5	-5.0	79.93257878593572
6 2 0	-1	-6.0	83.89821493920324
1 1 11	-1	-7.0	88.43543831012747
2 6 8	-1	-8.0	90.24888454094146
2 2 6	-1	-9.0	94.72501553809201
0 4 20	0.5	-8.5	93.11194175045513
2 2 12	0.5	-8.0	92.04830571988472
1 3 9	0.5	-7.5	90.56860540304076
3 7 5	0.5	-7.0	90.09585157076269
0 4 6	-1	-8.0	92.81450732928485
2 4 0	0.5	-7.5	91.49773820594397
4 4 10	0.5	-7.0	90.00576637199794
4 2 14	0.5	-6.5	88.59946126492315
1 3 3	0.5	-6.0	87.51432379065383
4 2 4	0.5	-5.5	86.9405883442522
1 5 5	-1	-6.5	87.14926531355067
6 2 6	-1	-7.5	87.89212922477321
3 3 15	0.5	-7.0	86.62153938991483
0 6 0	0.5	-6.5	85.44326117458222
0 4 4	0.5	-6.0	84.50445158320959
2 0 16	0.5	-5.5	83.4051063303045
1 1 1	0.5	-5.0	82.47064130887922
3 5 1	0.5	-4.5	81.43869739905236
0 0 4	0.5	-4.0	80.57168984231097
2 6 0	-1	-5.0	83.20669949708916
2 2 16	0.5	-4.5	82.09733210568632
2 4 14	0.5	-4.0	81.05018648567813
1 1 17	-1	-5.0	82.51218267409978
1 7 1	0.5	-4.5	81.53826468443043
4 6 4	0.5	-4.0	80.81229700699292
2 6 2	-1	-5.0	81.08058603001224
0 6 18	0.5	-4.5	80.20863763993718
6 2 4	0.5	-4.0	79.4684957630291
0 6 8	0.5	-3.5	78.53631688294776
3 1 1	0.5	-3.0	77.75577634973585
0 2 18	0.5	-2.5	76.93966693045415
1 5 9	0.5	-2.0	76.06644273189465
0 0 14	0.5	-1.5	75.8729965450051
7 3 3	0.5	-1.0	75.21226080593175
4 2 6	0.5	-0.5	74.3781160853059
5 1 1	0.5	0.0	73.62864416798423
9 1 1	0.5	0.5	72.83705623782501
0 6 10	0.5	1.0	72.07235333361861
3 1 3	0.5	1.5	71.52770955451172
1 1 5	-1	0.5	72.81962802084674
2 0 14	0.5	1.0	72.10960643324694
5 3 5	-1	0.0	72.43445764748198
6 4 4	0.5	0.5	71.94303475322178
3 3 11	-1	-0.5	73.35178376264935
1 3 1	0.5	0.0	72.74414711660343
