0 6 4	0	0	0
0 2 22	-1	-1	30.743658695319724
4 4 6	-1	-2	106.61878555833226
2 2 2	0.5	-1.5	104.45340654463803
4 0 2	-1	-2.5	104.86021964494407
2 0 0	0.5	-2.0	93.15963566123582
4 0 0	-1	-3.0	156.97305299511964
3 7 1	0.5	-2.5	134.95477009332484
2 2 16	0.5	-2.0	118.15809594454123
4 2 14	0.5	-1.5	105.29754391736921
1 3 3	0.5	-1.0	96.75877427519319
0 2 4	0.5	-0.5	96.2315609875935
6 2 4	0.5	0.0	90.0236625862466
1 1 11	-1	-1.0	107.67299092935447
4 4 0	-1	-2.0	123.27993148844583
0 2 14	0.5	-1.5	115.71809200237006
2 0 6	0.5	-1.0	109.40594225418411
0 4 8	-1	-2.0	114.71102203383067
6 0 0	0.5	-1.5	108.59737924578826
2 2 8	-1	-2.5	112.70420289705065
5 3 5	0.5	-2.0	112.11412043461912
3 1 3	0.5	-1.5	107.7566303125986
3 1 1	0.5	-1.0	103.47967006697826
0 4 16	0.5	-0.5	98.98983675300914
1 7 1	0.5	0.0	95.15399536192375
0 6 0	0.5	0.5	91.6077803773387
2 4 8	0.5	1.0	88.65559969903828
2 6 6	-1	0.0	90.17900558960085
0 2 0	0.5	0.5	88.65394440762705
5 5 7	0.5	1.0	86.18375585192732
3 7 5	0.5	1.5	85.24829570401093
1 3 7	0.5	2.0	82.72689922419528
3 3 15	0.5	2.5	81.65441889502527
1 7 7	0.5	3.0	79.45545341667798
6 4 2	0.5	3.5	77.14152205030355
2 2 0	-1	2.5	93.50058139124569
1 3 5	-1	1.5	94.99026783588685
4 2 10	0.5	2.0	92.47296709518119
0 4 20	0.5	2.5	90.32251748183461
4 2 0	0.5	3.0	88.33497936990162
4 0 4	0.5	3.5	86.79655318426663
0 0 14	0.5	4.0	86.11548335985428
4 0 10	0.5	4.5	84.08507102595055
4 6 0	0.5	5.0	82.13056834332386
0 0 18	0.5	5.5	81.33186837616428
3 3 13	0.5	6.0	80.1474550518596
2 6 10	0.5	6.5	78.40672998232415
5 3 9	0.5	7.0	76.75533076169587
6 2 0	-1	6.0	81.0350118417143
6 2 10	0.5	6.5	79.3817237936419
0 4 18	-1	5.5	79.51372286409656
0 2 16	0.5	6.0	78.00005813537858
2 4 0	0.5	6.5	76.76562100241668
2 0 10	0.5	7.0	75.38411586559273
0 4 12	0.5	7.5	74.22130151807517
5 1 7	0.5	8.0	73.43296495338447
0 0 2	-1	7.0	73.56169044108798
0 4 10	0.5	7.5	72.27429680587491
4 4 10	0.5	8.0	71.0283984025988
2 4 14	0.5	8.5	69.8605376011474
0 2 20	0.5	9.0	69.28521214755034
1 1 15	0.5	9.5	68.24348873835748
1 3 13	0.5	10.0	67.59204931185214
0 4 0	-1	9.0	74.5272634347106
6 4 0	0.5	9.5	73.36297740450414
1 5 1	0.5	10.0	72.35156096566467
2 6 0	-1	9.0	75.4305131709088
3 7 3	0.5	9.5	74.58232564859907
3 3 3	0.5	10.0	73.78441111781999
4 4 8	-1	9.0	75.42292031501898
1 1 1	0.5	9.5	74.59408764115841
6 0 4	0.5	10.0	73.99442456539997
2 6 4	0.5	10.5	73.27288328611796
2 0 16	0.5	11.0	72.31255345007183
2 0 14	0.5	11.5	71.43603536206207
0 2 8	-1	10.5	71.55657651846822
5 1 1	0.5	11.0	70.71118360739922
1 1 13	0.5	11.5	70.09781616567676
3 1 13	0.5	12.0	69.44111456087799
4 0 14	-1	11.0	69.8835873792466
5 1 5	-1	10.0	70.24532890266383
0 0 6	-1	9.0	73.6971708176603
1 3 9	0.5	9.5	72.98764084184315
2 4 10	0.5	10.0	72.11649581524969
7 1 1	0.5	10.5	71.33206525191588
3 5 1	0.5	11.0	70.59351521181749
